"Label (Grouping)","ZCTA5 90043!!Occupied housing units!!Estimate","ZCTA5 90043!!Occupied housing units!!Margin of Error","ZCTA5 90043!!Percent occupied housing units!!Estimate","ZCTA5 90043!!Percent occupied housing units!!Margin of Error","ZCTA5 90043!!Owner-occupied housing units!!Estimate","ZCTA5 90043!!Owner-occupied housing units!!Margin of Error","ZCTA5 90043!!Percent owner-occupied housing units!!Estimate","ZCTA5 90043!!Percent owner-occupied housing units!!Margin of Error","ZCTA5 90043!!Renter-occupied housing units!!Estimate","ZCTA5 90043!!Renter-occupied housing units!!Margin of Error","ZCTA5 90043!!Percent renter-occupied housing units!!Estimate","ZCTA5 90043!!Percent renter-occupied housing units!!Margin of Error","ZCTA5 90045!!Occupied housing units!!Estimate","ZCTA5 90045!!Occupied housing units!!Margin of Error","ZCTA5 90045!!Percent occupied housing units!!Estimate","ZCTA5 90045!!Percent occupied housing units!!Margin of Error","ZCTA5 90045!!Owner-occupied housing units!!Estimate","ZCTA5 90045!!Owner-occupied housing units!!Margin of Error","ZCTA5 90045!!Percent owner-occupied housing units!!Estimate","ZCTA5 90045!!Percent owner-occupied housing units!!Margin of Error","ZCTA5 90045!!Renter-occupied housing units!!Estimate","ZCTA5 90045!!Renter-occupied housing units!!Margin of Error","ZCTA5 90045!!Percent renter-occupied housing units!!Estimate","ZCTA5 90045!!Percent renter-occupied housing units!!Margin of Error","ZCTA5 90250!!Occupied housing units!!Estimate","ZCTA5 90250!!Occupied housing units!!Margin of Error","ZCTA5 90250!!Percent occupied housing units!!Estimate","ZCTA5 90250!!Percent occupied housing units!!Margin of Error","ZCTA5 90250!!Owner-occupied housing units!!Estimate","ZCTA5 90250!!Owner-occupied housing units!!Margin of Error","ZCTA5 90250!!Percent owner-occupied housing units!!Estimate","ZCTA5 90250!!Percent owner-occupied housing units!!Margin of Error","ZCTA5 90250!!Renter-occupied housing units!!Estimate","ZCTA5 90250!!Renter-occupied housing units!!Margin of Error","ZCTA5 90250!!Percent renter-occupied housing units!!Estimate","ZCTA5 90250!!Percent renter-occupied housing units!!Margin of Error","ZCTA5 90301!!Occupied housing units!!Estimate","ZCTA5 90301!!Occupied housing units!!Margin of Error","ZCTA5 90301!!Percent occupied housing units!!Estimate","ZCTA5 90301!!Percent occupied housing units!!Margin of Error","ZCTA5 90301!!Owner-occupied housing units!!Estimate","ZCTA5 90301!!Owner-occupied housing units!!Margin of Error","ZCTA5 90301!!Percent owner-occupied housing units!!Estimate","ZCTA5 90301!!Percent owner-occupied housing units!!Margin of Error","ZCTA5 90301!!Renter-occupied housing units!!Estimate","ZCTA5 90301!!Renter-occupied housing units!!Margin of Error","ZCTA5 90301!!Percent renter-occupied housing units!!Estimate","ZCTA5 90301!!Percent renter-occupied housing units!!Margin of Error","ZCTA5 90302!!Occupied housing units!!Estimate","ZCTA5 90302!!Occupied housing units!!Margin of Error","ZCTA5 90302!!Percent occupied housing units!!Estimate","ZCTA5 90302!!Percent occupied housing units!!Margin of Error","ZCTA5 90302!!Owner-occupied housing units!!Estimate","ZCTA5 90302!!Owner-occupied housing units!!Margin of Error","ZCTA5 90302!!Percent owner-occupied housing units!!Estimate","ZCTA5 90302!!Percent owner-occupied housing units!!Margin of Error","ZCTA5 90302!!Renter-occupied housing units!!Estimate","ZCTA5 90302!!Renter-occupied housing units!!Margin of Error","ZCTA5 90302!!Percent renter-occupied housing units!!Estimate","ZCTA5 90302!!Percent renter-occupied housing units!!Margin of Error","ZCTA5 90303!!Occupied housing units!!Estimate","ZCTA5 90303!!Occupied housing units!!Margin of Error","ZCTA5 90303!!Percent occupied housing units!!Estimate","ZCTA5 90303!!Percent occupied housing units!!Margin of Error","ZCTA5 90303!!Owner-occupied housing units!!Estimate","ZCTA5 90303!!Owner-occupied housing units!!Margin of Error","ZCTA5 90303!!Percent owner-occupied housing units!!Estimate","ZCTA5 90303!!Percent owner-occupied housing units!!Margin of Error","ZCTA5 90303!!Renter-occupied housing units!!Estimate","ZCTA5 90303!!Renter-occupied housing units!!Margin of Error","ZCTA5 90303!!Percent renter-occupied housing units!!Estimate","ZCTA5 90303!!Percent renter-occupied housing units!!Margin of Error","ZCTA5 90304!!Occupied housing units!!Estimate","ZCTA5 90304!!Occupied housing units!!Margin of Error","ZCTA5 90304!!Percent occupied housing units!!Estimate","ZCTA5 90304!!Percent occupied housing units!!Margin of Error","ZCTA5 90304!!Owner-occupied housing units!!Estimate","ZCTA5 90304!!Owner-occupied housing units!!Margin of Error","ZCTA5 90304!!Percent owner-occupied housing units!!Estimate","ZCTA5 90304!!Percent owner-occupied housing units!!Margin of Error","ZCTA5 90304!!Renter-occupied housing units!!Estimate","ZCTA5 90304!!Renter-occupied housing units!!Margin of Error","ZCTA5 90304!!Percent renter-occupied housing units!!Estimate","ZCTA5 90304!!Percent renter-occupied housing units!!Margin of Error","ZCTA5 90305!!Occupied housing units!!Estimate","ZCTA5 90305!!Occupied housing units!!Margin of Error","ZCTA5 90305!!Percent occupied housing units!!Estimate","ZCTA5 90305!!Percent occupied housing units!!Margin of Error","ZCTA5 90305!!Owner-occupied housing units!!Estimate","ZCTA5 90305!!Owner-occupied housing units!!Margin of Error","ZCTA5 90305!!Percent owner-occupied housing units!!Estimate","ZCTA5 90305!!Percent owner-occupied housing units!!Margin of Error","ZCTA5 90305!!Renter-occupied housing units!!Estimate","ZCTA5 90305!!Renter-occupied housing units!!Margin of Error","ZCTA5 90305!!Percent renter-occupied housing units!!Estimate","ZCTA5 90305!!Percent renter-occupied housing units!!Margin of Error"
"        $75,000 to $99,999","1,698","±337","9.9%","±2.0","1,188","±288","13.1%","±3.0","510","±182","6.3%","±2.2","1,326","±296","8.4%","±1.8","479","±143","6.3%","±1.9","847","±272","10.3%","±3.1","4,661","±509","14.5%","±1.6","1,221","±217","11.8%","±2.0","3,440","±509","15.7%","±2.3","1,949","±379","16.1%","±3.0","636","±206","20.4%","±5.5","1,313","±317","14.6%","±3.3","1,345","±303","13.0%","±2.8","389","±137","12.0%","±4.1","956","±287","13.5%","±3.7","836","±182","12.1%","±2.5","305","±100","11.4%","±3.6","531","±155","12.6%","±3.5","808","±190","11.3%","±2.6","158","±85","7.5%","±3.8","650","±179","12.8%","±3.6","719","±190","12.2%","±3.3","317","±90","9.0%","±2.6","402","±166","16.9%","±7.2"
"        $100,000 to $149,999","2,484","±415","14.5%","±2.4","1,820","±310","20.0%","±3.4","664","±205","8.3%","±2.5","3,213","±470","20.3%","±2.8","1,498","±303","19.7%","±3.5","1,715","±356","20.8%","±3.9","6,000","±556","18.6%","±1.6","2,590","±388","25.1%","±3.3","3,410","±371","15.6%","±1.7","1,791","±267","14.8%","±2.3","705","±199","22.6%","±5.5","1,086","±236","12.0%","±2.6","1,710","±344","16.5%","±3.3","682","±236","21.0%","±6.5","1,028","±249","14.5%","±3.5","1,047","±200","15.2%","±2.9","541","±143","20.3%","±5.0","506","±147","12.0%","±3.5","1,252","±277","17.5%","±3.5","568","±156","27.0%","±6.2","684","±206","13.5%","±3.7","1,255","±257","21.3%","±4.3","967","±213","27.5%","±5.9","288","±144","12.1%","±5.5"
"        $150,000 or more","3,330","±450","19.4%","±2.5","2,821","±435","31.0%","±4.1","509","±159","6.3%","±2.0","6,449","±500","40.7%","±3.1","4,065","±332","53.5%","±4.4","2,384","±354","28.9%","±4.0","5,361","±438","16.6%","±1.4","3,680","±419","35.7%","±3.8","1,681","±333","7.7%","±1.5","1,327","±199","10.9%","±1.7","804","±166","25.8%","±5.3","523","±168","5.8%","±1.8","1,447","±290","14.0%","±2.7","824","±179","25.4%","±5.0","623","±217","8.8%","±3.1","1,019","±164","14.8%","±2.4","810","±154","30.4%","±5.0","209","±74","4.9%","±1.8","717","±147","10.0%","±2.1","510","±132","24.2%","±6.8","207","±111","4.1%","±2.1","1,261","±283","21.4%","±4.4","1,059","±222","30.1%","±5.8","202","±164","8.5%","±6.4"
"        Median household income (dollars)","63,990","±6,488","63,990","±6,488","102,859","±8,606","102,859","±8,606","35,853","±4,234","35,853","±4,234","125,692","±7,051","125,692","±7,051","162,767","±10,129","162,767","±10,129","99,275","±8,900","99,275","±8,900","74,616","±2,512","74,616","±2,512","119,722","±6,849","119,722","±6,849","60,878","±3,418","60,878","±3,418","61,910","±6,533","61,910","±6,533","97,370","±14,163","97,370","±14,163","49,940","±5,521","49,940","±5,521","68,662","±5,246","68,662","±5,246","91,895","±18,268","91,895","±18,268","57,806","±4,875","57,806","±4,875","67,598","±4,217","67,598","±4,217","101,607","±14,885","101,607","±14,885","53,801","±4,744","53,801","±4,744","57,647","±9,743","57,647","±9,743","100,957","±25,918","100,957","±25,918","48,140","±8,818","48,140","±8,818","85,466","±7,494","85,466","±7,494","116,722","±12,479","116,722","±12,479","57,463","±9,795","57,463","±9,795"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $300","455","±191","2.7%","±1.1","157","±105","1.7%","±1.2","298","±143","3.7%","±1.8","164","±131","1.0%","±0.8","137","±131","1.8%","±1.7","27","±43","0.3%","±0.5","357","±130","1.1%","±0.4","277","±110","2.7%","±1.1","80","±69","0.4%","±0.3","148","±64","1.2%","±0.5","71","±46","2.3%","±1.5","77","±45","0.9%","±0.5","151","±91","1.5%","±0.9","137","±88","4.2%","±2.8","14","±27","0.2%","±0.4","62","±36","0.9%","±0.5","57","±38","2.1%","±1.4","5","±9","0.1%","±0.2","119","±78","1.7%","±1.0","84","±61","4.0%","±2.8","35","±36","0.7%","±0.7","82","±55","1.4%","±0.9","64","±47","1.8%","±1.3","18","±27","0.8%","±1.1"
"        $300 to $499","946","±203","5.5%","±1.2","274","±115","3.0%","±1.3","672","±170","8.4%","±2.3","229","±95","1.4%","±0.6","207","±90","2.7%","±1.2","22","±34","0.3%","±0.4","1,024","±232","3.2%","±0.7","795","±209","7.7%","±2.0","229","±114","1.0%","±0.5","539","±152","4.4%","±1.2","214","±115","6.9%","±3.5","325","±105","3.6%","±1.2","319","±145","3.1%","±1.4","174","±94","5.4%","±2.9","145","±113","2.0%","±1.6","309","±104","4.5%","±1.5","300","±103","11.3%","±3.7","9","±15","0.2%","±0.3","147","±57","2.0%","±0.9","103","±48","4.9%","±2.4","44","±29","0.9%","±0.6","84","±44","1.4%","±0.7","65","±38","1.8%","±1.1","19","±21","0.8%","±0.9"
"        $500 to $799","1,375","±283","8.0%","±1.6","804","±211","8.8%","±2.2","571","±191","7.1%","±2.4","574","±177","3.6%","±1.1","566","±174","7.5%","±2.2","8","±15","0.1%","±0.2","1,561","±251","4.8%","±0.8","1,047","±204","10.1%","±1.9","514","±170","2.3%","±0.8","846","±253","7.0%","±2.0","427","±135","13.7%","±4.4","419","±207","4.6%","±2.2","532","±201","5.1%","±1.9","399","±183","12.3%","±5.0","133","±91","1.9%","±1.3","290","±88","4.2%","±1.3","182","±66","6.8%","±2.4","108","±57","2.6%","±1.4","352","±117","4.9%","±1.7","193","±69","9.2%","±3.5","159","±95","3.1%","±1.9","337","±104","5.7%","±1.8","303","±95","8.6%","±2.7","34","±51","1.4%","±2.2"
"        $800 to $999","1,185","±426","6.9%","±2.4","451","±169","5.0%","±1.8","734","±406","9.1%","±4.7","498","±135","3.1%","±0.9","414","±126","5.5%","±1.6","84","±71","1.0%","±0.9","861","±235","2.7%","±0.7","310","±155","3.0%","±1.5","551","±171","2.5%","±0.8","535","±190","4.4%","±1.6","271","±117","8.7%","±3.7","264","±122","2.9%","±1.3","415","±142","4.0%","±1.3","182","±100","5.6%","±2.9","233","±107","3.3%","±1.5","253","±103","3.7%","±1.5","114","±84","4.3%","±3.1","139","±65","3.3%","±1.5","492","±153","6.9%","±2.1","153","±89","7.3%","±4.2","339","±142","6.7%","±2.8","186","±69","3.2%","±1.2","100","±45","2.8%","±1.3","86","±53","3.6%","±2.3"
"        $1,000 to $1,499","2,868","±403","16.7%","±2.3","729","±208","8.0%","±2.3","2,139","±356","26.6%","±4.1","1,210","±255","7.6%","±1.5","678","±210","8.9%","±2.6","532","±213","6.4%","±2.5","7,792","±609","24.2%","±1.7","933","±193","9.0%","±1.7","6,859","±566","31.3%","±2.2","2,741","±442","22.6%","±3.2","237","±82","7.6%","±2.7","2,504","±436","27.8%","±4.1","2,142","±335","20.7%","±3.2","305","±104","9.4%","±3.1","1,837","±320","25.9%","±4.5","1,498","±337","21.7%","±4.6","171","±69","6.4%","±2.6","1,327","±316","31.4%","±6.0","2,753","±436","38.4%","±4.8","337","±138","16.0%","±6.2","2,416","±427","47.7%","±5.5","880","±221","14.9%","±3.8","256","±81","7.3%","±2.3","624","±204","26.3%","±7.8"
"        $1,500 to $1,999","3,237","±466","18.9%","±2.6","1,263","±293","13.9%","±3.1","1,974","±403","24.6%","±4.6","1,495","±310","9.4%","±1.9","597","±189","7.9%","±2.4","898","±215","10.9%","±2.6","10,127","±670","31.4%","±2.0","989","±203","9.6%","±1.9","9,138","±606","41.7%","±2.6","3,759","±392","31.0%","±3.2","428","±158","13.7%","±4.7","3,331","±405","36.9%","±4.0","3,045","±430","29.4%","±3.9","377","±125","11.6%","±3.8","2,668","±444","37.6%","±5.5","2,082","±286","30.2%","±4.1","443","±135","16.6%","±4.8","1,639","±248","38.8%","±5.7","1,451","±247","20.2%","±3.3","243","±94","11.5%","±4.9","1,208","±219","23.8%","±4.5","906","±210","15.4%","±3.6","324","±114","9.2%","±3.2","582","±170","24.5%","±7.5"
"        $2,000 to $2,499","1,691","±312","9.9%","±1.9","949","±229","10.4%","±2.6","742","±189","9.2%","±2.1","2,321","±384","14.6%","±2.3","733","±233","9.6%","±2.8","1,588","±317","19.2%","±3.8","3,951","±450","12.3%","±1.4","1,507","±282","14.6%","±2.5","2,444","±369","11.2%","±1.7","1,874","±270","15.4%","±2.4","427","±140","13.7%","±4.2","1,447","±279","16.0%","±3.1","1,843","±366","17.8%","±3.4","379","±136","11.7%","±4.0","1,464","±346","20.6%","±4.3","1,173","±223","17.0%","±3.1","539","±137","20.2%","±4.7","634","±168","15.0%","±3.8","676","±196","9.4%","±2.7","275","±106","13.1%","±5.0","401","±157","7.9%","±3.1","1,162","±238","19.7%","±3.8","522","±140","14.8%","±4.1","640","±206","27.0%","±7.2"
"        $2,500 to $2,999","1,336","±339","7.8%","±1.9","1,026","±304","11.3%","±3.2","310","±138","3.9%","±1.7","2,354","±350","14.8%","±2.2","827","±204","10.9%","±2.6","1,527","±296","18.5%","±3.3","2,197","±369","6.8%","±1.1","1,238","±211","12.0%","±2.0","959","±292","4.4%","±1.3","574","±178","4.7%","±1.5","330","±119","10.6%","±3.7","244","±130","2.7%","±1.4","773","±218","7.5%","±2.1","356","±143","11.0%","±4.2","417","±168","5.9%","±2.4","516","±142","7.5%","±2.1","362","±117","13.6%","±4.1","154","±81","3.6%","±1.9","493","±242","6.9%","±3.2","330","±226","15.7%","±9.0","163","±104","3.2%","±2.0","851","±187","14.4%","±3.1","645","±178","18.3%","±4.7","206","±96","8.7%","±3.6"
"        $3,000 or more","3,901","±493","22.8%","±2.6","3,440","±453","37.8%","±4.2","461","±175","5.7%","±2.1","6,841","±565","43.2%","±3.1","3,437","±302","45.2%","±4.1","3,404","±453","41.2%","±4.1","4,127","±394","12.8%","±1.2","3,226","±370","31.3%","±3.4","901","±188","4.1%","±0.8","834","±250","6.9%","±2.0","717","±244","23.0%","±6.8","117","±91","1.3%","±1.0","1,079","±288","10.4%","±2.6","934","±252","28.8%","±6.5","145","±100","2.0%","±1.4","632","±147","9.2%","±2.1","498","±130","18.7%","±4.8","134","±79","3.2%","±1.9","570","±168","7.9%","±2.3","389","±138","18.5%","±5.7","181","±92","3.6%","±1.9","1,340","±282","22.7%","±4.2","1,243","±278","35.3%","±5.9","97","±66","4.1%","±2.8"
"        No cash rent","138","±71","0.8%","±0.4","(X)","(X)","(X)","(X)","138","±71","1.7%","±0.9","166","±84","1.0%","±0.5","(X)","(X)","(X)","(X)","166","±84","2.0%","±1.0","233","±115","0.7%","±0.4","(X)","(X)","(X)","(X)","233","±115","1.1%","±0.5","292","±172","2.4%","±1.4","(X)","(X)","(X)","(X)","292","±172","3.2%","±1.9","41","±33","0.4%","±0.3","(X)","(X)","(X)","(X)","41","±33","0.6%","±0.5","79","±47","1.1%","±0.7","(X)","(X)","(X)","(X)","79","±47","1.9%","±1.1","121","±73","1.7%","±1.0","(X)","(X)","(X)","(X)","121","±73","2.4%","±1.4","66","±78","1.1%","±1.3","(X)","(X)","(X)","(X)","66","±78","2.8%","±3.2"
"        Median (dollars)","1,723","±77","1,723","±77","2,458","±192","2,458","±192","1,389","±108","1,389","±108","2,787","±105","2,787","±105","2,782","±193","2,782","±193","2,790","±104","2,790","±104","1,676","±22","1,676","±22","2,269","±115","2,269","±115","1,643","±24","1,643","±24","1,658","±58","1,658","±58","1,940","±157","1,940","±157","1,616","±55","1,616","±55","1,724","±61","1,724","±61","2,073","±359","2,073","±359","1,719","±53","1,719","±53","1,704","±64","1,704","±64","2,061","±143","2,061","±143","1,648","±64","1,648","±64","1,436","±63","1,436","±63","1,899","±309","1,899","±309","1,388","±57","1,388","±57","2,189","±97","2,189","±97","2,598","±145","2,598","±145","1,820","±151","1,820","±151"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","3,199","±507","18.7%","±2.7","797","±208","8.8%","±2.3","2,402","±447","29.9%","±4.8","1,141","±322","7.2%","±2.0","250","±157","3.3%","±2.0","891","±271","10.8%","±3.2","2,831","±432","8.8%","±1.3","401","±137","3.9%","±1.4","2,430","±398","11.1%","±1.8","1,603","±375","13.2%","±2.8","192","±93","6.1%","±2.9","1,411","±371","15.6%","±3.7","1,052","±274","10.2%","±2.7","205","±95","6.3%","±2.8","847","±270","11.9%","±3.7","551","±142","8.0%","±2.0","154","±68","5.8%","±2.6","397","±127","9.4%","±3.0","706","±186","9.8%","±2.5","136","±74","6.5%","±3.5","570","±181","11.2%","±3.4","483","±159","8.2%","±2.7","178","±69","5.1%","±2.0","305","±145","12.9%","±6.3"
"            Less than 20 percent","7","±10","0.0%","±0.1","0","±28","0.0%","±0.4","7","±10","0.1%","±0.1","0","±28","0.0%","±0.3","0","±28","0.0%","±0.5","0","±28","0.0%","±0.5","25","±29","0.1%","±0.1","25","±29","0.2%","±0.3","0","±31","0.0%","±0.2","30","±34","0.2%","±0.3","0","±28","0.0%","±1.3","30","±34","0.3%","±0.4","0","±25","0.0%","±0.4","0","±25","0.0%","±1.2","0","±25","0.0%","±0.6","0","±25","0.0%","±0.6","0","±25","0.0%","±1.5","0","±25","0.0%","±0.9","47","±53","0.7%","±0.7","47","±53","2.2%","±2.5","0","±25","0.0%","±0.8","0","±21","0.0%","±0.7","0","±21","0.0%","±1.1","0","±21","0.0%","±1.7"
"            20 to 29 percent","241","±156","1.4%","±0.9","0","±28","0.0%","±0.4","241","±156","3.0%","±1.9","41","±48","0.3%","±0.3","14","±22","0.2%","±0.3","27","±43","0.3%","±0.5","105","±63","0.3%","±0.2","34","±33","0.3%","±0.3","71","±55","0.3%","±0.3","125","±80","1.0%","±0.7","30","±49","1.0%","±1.6","95","±62","1.1%","±0.7","9","±15","0.1%","±0.1","9","±15","0.3%","±0.5","0","±25","0.0%","±0.6","43","±44","0.6%","±0.7","43","±44","1.6%","±1.7","0","±25","0.0%","±0.9","27","±29","0.4%","±0.4","2","±3","0.1%","±0.1","25","±29","0.5%","±0.6","32","±33","0.5%","±0.6","14","±19","0.4%","±0.5","18","±27","0.8%","±1.1"
"            30 percent or more","2,951","±495","17.2%","±2.7","797","±208","8.8%","±2.3","2,154","±434","26.8%","±4.7","1,100","±308","6.9%","±1.9","236","±150","3.1%","±1.9","864","±258","10.5%","±3.0","2,701","±441","8.4%","±1.3","342","±130","3.3%","±1.3","2,359","±400","10.8%","±1.8","1,448","±365","11.9%","±2.7","162","±77","5.2%","±2.5","1,286","±361","14.3%","±3.6","1,043","±274","10.1%","±2.7","196","±92","6.0%","±2.7","847","±270","11.9%","±3.7","508","±141","7.4%","±2.0","111","±59","4.2%","±2.2","397","±127","9.4%","±3.0","632","±176","8.8%","±2.4","87","±51","4.1%","±2.5","545","±174","10.8%","±3.3","451","±159","7.7%","±2.7","164","±68","4.7%","±2.0","287","±145","12.1%","±6.3"
"        $20,000 to $34,999","2,010","±345","11.7%","±2.0","783","±285","8.6%","±3.0","1,227","±206","15.3%","±2.6","999","±317","6.3%","±2.0","516","±219","6.8%","±2.8","483","±215","5.9%","±2.6","4,020","±467","12.5%","±1.4","518","±148","5.0%","±1.4","3,502","±456","16.0%","±1.9","1,573","±263","13.0%","±2.1","152","±66","4.9%","±2.0","1,421","±274","15.8%","±2.9","1,225","±250","11.8%","±2.5","230","±90","7.1%","±2.9","995","±241","14.0%","±3.4","654","±151","9.5%","±2.2","140","±58","5.3%","±2.2","514","±130","12.2%","±3.1","1,387","±441","19.3%","±5.1","306","±237","14.5%","±9.7","1,081","±383","21.3%","±6.3","588","±156","10.0%","±2.6","276","±100","7.8%","±2.7","312","±120","13.2%","±5.0"
"            Less than 20 percent","127","±64","0.7%","±0.4","29","±34","0.3%","±0.4","98","±58","1.2%","±0.7","21","±34","0.1%","±0.2","21","±34","0.3%","±0.5","0","±28","0.0%","±0.5","156","±89","0.5%","±0.3","139","±85","1.3%","±0.8","17","±28","0.1%","±0.1","17","±20","0.1%","±0.2","17","±20","0.5%","±0.6","0","±28","0.0%","±0.4","67","±54","0.6%","±0.5","67","±54","2.1%","±1.7","0","±25","0.0%","±0.6","26","±20","0.4%","±0.3","26","±20","1.0%","±0.7","0","±25","0.0%","±0.9","34","±31","0.5%","±0.4","14","±16","0.7%","±0.8","20","±24","0.4%","±0.5","7","±10","0.1%","±0.2","7","±10","0.2%","±0.3","0","±21","0.0%","±1.7"
"            20 to 29 percent","158","±81","0.9%","±0.5","113","±75","1.2%","±0.8","45","±33","0.6%","±0.4","76","±58","0.5%","±0.4","76","±58","1.0%","±0.8","0","±28","0.0%","±0.5","105","±63","0.3%","±0.2","76","±55","0.7%","±0.5","29","±29","0.1%","±0.1","95","±66","0.8%","±0.5","22","±28","0.7%","±0.9","73","±60","0.8%","±0.7","29","±34","0.3%","±0.3","0","±25","0.0%","±1.2","29","±34","0.4%","±0.5","6","±9","0.1%","±0.1","0","±25","0.0%","±1.5","6","±9","0.1%","±0.2","16","±17","0.2%","±0.2","0","±25","0.0%","±1.9","16","±17","0.3%","±0.3","15","±24","0.3%","±0.4","15","±24","0.4%","±0.7","0","±21","0.0%","±1.7"
